N,Time
15961,0.130558
15971,0.128252
15981,0.130802
15991,0.130818
16001,0.127235
16011,0.127360
16021,0.129112
16031,0.128254
16041,0.129600
16051,0.129593
16061,0.131965
16071,0.130242
16081,0.128051
16091,0.130334
16101,0.128002
16111,0.130202
16121,0.129762
16131,0.133510
16141,0.129988
16151,0.131200
16161,0.128641
16171,0.129740
16181,0.128046
16191,0.131393
16201,0.130149
16211,0.133353
16221,0.131299
16231,0.132117
16241,0.131554
16251,0.132143
16261,0.133325
16271,0.132931
16281,0.130234
16291,0.136075
16301,0.134410
16311,0.132253
16321,0.132889
16331,0.133084
16341,0.133518
16351,0.135225
16361,0.131258
16371,0.130504
16381,0.133843
16391,0.129651
16401,0.129750
16411,0.131395
16421,0.133522
16431,0.131240
16441,0.130757
16451,0.133691
16461,0.133533
16471,0.133640
16481,0.130947
16491,0.131326
16501,0.133903
16511,0.134053
16521,0.135447
16531,0.134951
16541,0.132574
16551,0.134074
16561,0.134749
16571,0.132417
16581,0.132683
16591,0.136238
16601,0.134218
16611,0.133708
16621,0.138290
16631,0.135373
16641,0.133182
16651,0.132866
16661,0.135133
16671,0.133033
16681,0.135776
16691,0.135544
16701,0.133393
16711,0.135859
16721,0.136118
16731,0.135518
16741,0.135097
16751,0.133963
16761,0.135355
16771,0.138371
16781,0.133039
16791,0.136652
16801,0.135918
16811,0.137067
16821,0.135010
16831,0.137934
16841,0.140199
16851,0.134162
16861,0.138210
16871,0.135917
16881,0.136310
16891,0.138199
16901,0.136798
16911,0.140150
16921,0.133693
16931,0.134583
16941,0.136627
16951,0.136692
16961,0.141286
16971,0.136171
16981,0.138547
16991,0.137982
17001,0.137660
17011,0.136183
17021,0.135765
17031,0.139042
17041,0.137633
17051,0.135522
17061,0.141348
17071,0.135164
17081,0.138836
17091,0.137771
17101,0.134481
17111,0.139261
17121,0.141862
17131,0.139030
17141,0.139147
17151,0.138287
17161,0.139233
17171,0.138884
17181,0.139267
17191,0.139347
17201,0.137717
17211,0.136753
17221,0.138825
17231,0.136884
17241,0.141235
17251,0.137646
17261,0.139454
17271,0.140413
17281,0.140104
17291,0.137671
17301,0.139926
17311,0.139225
17321,0.138482
17331,0.137098
17341,0.140118
17351,0.141070
17361,0.141925
17371,0.140903
17381,0.139816
17391,0.142448
17401,0.139829
17411,0.140996
17421,0.140514
17431,0.141596
17441,0.140701
17451,0.141385
17461,0.140654
17471,0.138784
17481,0.138527
17491,0.138663
17501,0.138820
17511,0.142401
17521,0.142257
17531,0.145543
17541,0.145597
17551,0.141034
17561,0.141905
17571,0.142451
17581,0.141595
